max_volume,id,name,latitude,longitude
1000,cauldron_001,Crimson Brew Cauldron,33.2148,-97.1331
800,cauldron_002,Sapphire Mist Cauldron,33.2155,-97.1325
1200,cauldron_003,Golden Elixir Cauldron,33.2142,-97.1338
750,cauldron_004,Emerald Dreams Cauldron,33.216,-97.1318
900,cauldron_005,Violet Vapors Cauldron,33.2135,-97.1345
650,cauldron_006,Crystal Clear Cauldron,33.2165,-97.131
1100,cauldron_007,Ruby Radiance Cauldron,33.2128,-97.1352
700,cauldron_008,Azure Breeze Cauldron,33.217,-97.1305
950,cauldron_009,Amber Glow Cauldron,33.212,-97.136
850,cauldron_010,Pearl Shimmer Cauldron,33.2175,-97.13
1050,cauldron_011,Onyx Shadow Cauldron,33.2115,-97.1368
600,cauldron_012,Jade Serenity Cauldron,33.218,-97.1295
